,خالق,صانع
جاني,0.7289004325866699,0.7861046195030212
قائدا,0.7131260633468628,0.783141553401947
مشاعره,0.707503080368042,0.7453243136405945
خالق,0.6933411359786987,0.7023557424545288
مختار,0.6925013065338135,0.7379111647605896
مستعرض,0.690204381942749,0.7953733205795288
لتلك,0.6900516748428345,0.8549714088439941
##اخذ,0.6861051619052887,0.7702673971652985
مستعد,0.6788853406906128,0.7251310348510742
مخرج,0.677305539449056,0.7102513511975607
الصحة,0.6766334176063538,0.7112802863121033
يجعلني,0.6760828495025635,0.7511540651321411
مقاطع,0.6751563549041748,0.7322971224784851
مراعاة,0.674230694770813,0.7571353316307068
الثابت,0.6732147336006165,0.7969071269035339
مخالفة,0.671593427658081,0.775479793548584
تواضع,0.6705102324485779,0.7789301872253418
يجبر,0.6695123910903931,0.7793415784835815
زوجته,0.6675176620483398,0.8007543683052063
يجمعنا,0.666544497013092,0.7494467496871948
آدم,0.666222095489502,0.7823819518089294
الموسيقى,0.6661975383758545,0.7651703357696533
ترسل,0.6657119989395142,0.7499587833881378
القاعد,0.6655435363451639,0.7928208907445272
حني,0.664605975151062,0.7302574813365936
لخلق,0.6641592582066854,0.6817641655604044
حالنا,0.6622236371040344,0.7815226316452026
وعنه,0.6621289253234863,0.7925353050231934
يصدق,0.6621074080467224,0.765500545501709
إرادة,0.6617715954780579,0.8204860091209412
الناطق,0.6616784632205963,0.746855229139328
تسعد,0.66017946600914,0.759703129529953
يستطيع,0.6599883437156677,0.7208413481712341
تحريك,0.6593603491783142,0.7862191796302795
يرزق,0.6588281393051147,0.7157143354415894
وقفة,0.6582713723182678,0.7279927134513855
قدرك,0.6579729914665222,0.7629284858703613
عرضة,0.657856285572052,0.7870891094207764
حبيبي,0.6575681567192078,0.6994025111198425
يحقق,0.6575540900230408,0.7194429039955139
توزع,0.6573557257652283,0.7943470180034637
كافه,0.6567283868789673,0.7903144955635071
بيتنا,0.6565861503283182,0.7311349113782247
نتاج,0.6562612652778625,0.7112179398536682
سعيد,0.6561843156814575,0.7523964643478394
الدعم,0.6561659574508667,0.7701798677444458
اختراع,0.6560326814651489,0.7417092323303223
واضحه,0.6556723117828369,0.7053113281726837
عامه,0.6554953455924988,0.7484103441238403
##ترى,0.6554759740829468,0.7696745991706848
صفحة,0.6544436117013296,0.7410476406415304
للإنسان,0.6538916230201721,0.7398043274879456
يوجع,0.6538353860378265,0.7211699485778809
ثاني,0.6531380925859723,0.722322404384613
المشاكل,0.6530473232269287,0.7228562831878662
قوقل,0.6529614925384521,0.7573981881141663
خمسة,0.6528048515319824,0.7126307487487793
الهلالي,0.6527037620544434,0.7651459574699402
نحيا,0.652561604976654,0.7469475865364075
تضحك,0.6523802280426025,0.7312449117501577
لعله,0.65225750207901,0.6972683072090149
المسجد,0.6521031558513641,0.7122855484485626
الوحيد,0.651583751042684,0.7161984244982401
هشام,0.6515347957611084,0.7727741897106171
مهدي,0.6512764096260071,0.7909773588180542
سيرة,0.6511964797973633,0.6931816339492798
السعيد,0.6511329412460327,0.7548043727874756
وأحد,0.6506504118442535,0.7865636348724365
مشارك,0.6503325700759888,0.6991174817085266
تكفي,0.6501743197441101,0.7273332476615906
قدام,0.649846076965332,0.7457708358764649
مبنى,0.6495921611785889,0.7195615172386169
أنقرة,0.6494476199150085,0.796604335308075
شعبة,0.6493759751319885,0.7255750894546509
يبدأ,0.6493666172027588,0.7745805978775024
لاحد,0.6488219499588013,0.7651921510696411
الضغط,0.6486225128173828,0.7409079670906067
موجود,0.6485691666603088,0.76848965883255
سائق,0.6482907235622406,0.7150638997554779
غاز,0.6480473279953003,0.7161567211151123
بخلاف,0.6475715637207031,0.7178511023521423
اما,0.6473450064659119,0.8028810024261475
الخشب,0.6464664936065674,0.7907927632331848
باقيه,0.646326869726181,0.7265320122241974
بجده,0.6462770303090414,0.7116972605387369
البدع,0.6460065245628357,0.7139833569526672
وأخرج,0.6454860170682272,0.715311070283254
وأنها,0.6452419757843018,0.7133305072784424
الرزق,0.6452176570892334,0.6975904703140259
صفات,0.6451633721590042,0.722729817032814
جاب,0.6450368165969849,0.7555272579193115
بالجميع,0.6450170278549194,0.7320210337638855
الطبيب,0.6444782614707947,0.7501800159613291
تخلف,0.6444370746612549,0.7448159257570902
يفوت,0.6444301505883535,0.7457310358683268
بعقد,0.6440862417221069,0.7298594117164612
المخاوف,0.6439299583435059,0.7843290567398071
التراث,0.643928587436676,0.7750499844551086
أسهم,0.6436211466789246,0.7787600457668304
الزمن,0.6434052586555481,0.7457825541496277
يشتري,0.643379807472229,0.6810253620147705
صادرات,0.6433402895927429,0.7673485279083252
تنسى,0.6431704163551331,0.7881638407707214
الأولاد,0.6431398391723633,0.713776707649231
الطبيعة,0.6428287625312805,0.7229210734367371
ضربه,0.6426693797111511,0.7357367277145386
زعل,0.6421350240707397,0.7238468527793884
دخان,0.6418235103289286,0.7451976537704468
الأربع,0.6415980815887451,0.7031335473060608
جماعه,0.6415953636169434,0.7579267919063568
يتردد,0.6414981245994568,0.7461409091949462
أحداث,0.6413328647613525,0.6724997162818909
سببه,0.6413273811340332,0.7299589514732361
ولكنها,0.6411012808481852,0.6907139155599806
شبهات,0.6407817006111145,0.7237342596054077
فعليه,0.640620489915212,0.7407221794128418
آلة,0.6405529528856277,0.705632746219635
بمختلف,0.6403176784515381,0.6837567985057831
القيام,0.640155017375946,0.7510364651679993
الجابر,0.640091598033905,0.7286114891370138
##انق,0.6400614082813263,0.7000594238440195
التمتع,0.6398409605026245,0.794980525970459
الأمين,0.6397034823894501,0.7116954624652863
تفوت,0.6395776867866516,0.7015658020973206
تلعب,0.6393255591392517,0.7200653553009033
خلل,0.6392826914787293,0.6973398923873901
شبيه,0.6391807317733764,0.7270256519317627
وروح,0.6389066179593405,0.6749541759490967
فقدت,0.6388438675138686,0.6943269901805453
التابع,0.6387511491775513,0.7088812589645386
إعداد,0.638658881187439,0.6996126770973206
عزتي,0.6386456489562988,0.7330353856086731
ولدي,0.6385717988014221,0.739267110824585
سلبية,0.6384210586547852,0.7244101166725159
تجاري,0.6384152770042419,0.7187671661376953
شخصية,0.6383655071258545,0.6533194184303284
واسعة,0.6382992267608643,0.6872397065162659
وأبرز,0.6382375955581665,0.7554599046707153
بوصف,0.6382164508104324,0.7320336401462555
يشجع,0.6380420923233032,0.738968551158905
مستقل,0.6380286912123362,0.7275320788224539
غادة,0.6378188927968343,0.7063313722610474
الدول,0.637721061706543,0.7440795302391052
ولنا,0.637561559677124,0.7172888815402985
جى,0.6374760866165161,0.7362512946128845
عدمه,0.6373344659805298,0.7285639643669128
تستفيد,0.6371940970420837,0.7250248789787292
مائة,0.6370674014091492,0.7067842125892639
الصور,0.637000322341919,0.6811120510101318
المرجح,0.6368362903594971,0.6487961411476135
وباقي,0.6368081450462342,0.7318400621414185
للدفاع,0.6368034482002258,0.7515594959259033
خاضعة,0.6367777585983276,0.733187198638916
##سمات,0.6367734670639038,0.73860764503479
الحريق,0.6366734355688095,0.7294999957084656
خلقت,0.6365853022126591,0.6716745951596428
واني,0.6364355683326721,0.7369875907897949
##طاوي,0.6363851130008698,0.7733833193778992
دراسة,0.6362902522087097,0.7938382029533386
خلقنا,0.6361753145853678,0.7138017614682516
سلمي,0.636121928691864,0.6989737749099731
حياة,0.636026402314504,0.7033506035804749
التعذيب,0.6359740296999613,0.7250011165936788
كفوا,0.6359297633171082,0.7130880355834961
السنة,0.6357407569885254,0.722811833024025
جنود,0.6356245080629984,0.7324176033337911
حدودها,0.6355969905853271,0.7549619674682617
نشرها,0.6355388462543488,0.7358141243457794
نطلب,0.6354904572168986,0.7393374641736349
وشعب,0.635364443063736,0.7297097941239675
المتابعة,0.6353597640991211,0.6619505882263184
لغيرك,0.6353203058242798,0.7165021300315857
السند,0.6352576613426208,0.7352012991905212
الطوائف,0.6352018117904663,0.7295210063457489
الشبك,0.6351389288902283,0.6884472966194153
يحلم,0.6351045370101929,0.7795891761779785
غذاء,0.6350935101509094,0.7370725274085999
قاعدة,0.6350333094596863,0.7371430397033691
توافق,0.634765699505806,0.7271111756563187
استطاع,0.6347246766090393,0.6546421051025391
يمكنها,0.634722888469696,0.6914320588111877
خوان,0.6345815857251486,0.7130685249964396
تزوج,0.6344607472419739,0.6722611983617147
تعالي,0.6343730688095093,0.7111989855766296
الحركة,0.6340928077697754,0.6534984111785889
وسعت,0.6338400840759277,0.774942010641098
كثيره,0.6338265140851339,0.7298659284909567
المنظم,0.6337403655052185,0.7758873105049133
المعتمد,0.6336671710014343,0.6702581644058228
مبد,0.633504331111908,0.6763909856478373
ابعد,0.633494234085083,0.7294867515563965
ضحكت,0.6334832310676575,0.6796429753303528
##ناول,0.6334023475646973,0.697579026222229
##ليات,0.633074164390564,0.7274312376976013
بالعديد,0.6330675184726715,0.7525377869606018
تحبه,0.6329443454742432,0.7240878939628601
##بدع,0.6328378915786743,0.7390942573547363
ماجستير,0.6328092813491821,0.7845264077186584
سند,0.632749465378848,0.6846737699075178
##زيغ,0.6326901912689209,0.7573642730712891
ويظهر,0.6326509714126587,0.7522415518760681
الشرح,0.6325636208057404,0.7196149528026581
##وقاف,0.6324841976165771,0.7295639514923096
تقصف,0.6323805153369904,0.76578488945961
واثق,0.6322797338167826,0.6758401791254679
متابعة,0.6322034597396851,0.7025876641273499
المدخل,0.6321513801813126,0.6864621043205261
سدا,0.6320974826812744,0.7683025598526001
ولكل,0.6319735765457153,0.71522616147995
المدافع,0.6319285035133362,0.6870695650577545
خالي,0.6318852684714578,0.6901596838777716
حقوق,0.6318299770355225,0.6988286375999451
دمه,0.6317630665642875,0.7058827366147723
تخرج,0.6317499388347972,0.7126231410286643
أسلوب,0.631744921207428,0.6726389527320862
ثقيلة,0.6317391991615295,0.6988140940666199
الرئيس,0.6317153871059418,0.708959698677063
كلمه,0.6317083388566971,0.7452044039964676
المراقب,0.6316823959350586,0.686881422996521
مغلقة,0.6313539743423462,0.7526277899742126
دولة,0.6312817136446635,0.7145445744196574
عقبة,0.6312808394432068,0.72829669713974
محارب,0.6311618685722351,0.7142243385314941
يعملون,0.6310707926750183,0.7173895835876465
نظير,0.631057858467102,0.735393762588501
المئة,0.6309791107972463,0.6861521502335867
سكري,0.6309435963630676,0.7516788641611735
يحبون,0.6309363842010498,0.7302303910255432
الشقيق,0.6306936144828796,0.7355996966362
##ديث,0.630595326423645,0.7377873063087463
حنبل,0.630468487739563,0.6986050009727478
صاحي,0.6303770244121552,0.7015843391418457
أطباق,0.6303613185882568,0.710533857345581
الديم,0.6303114891052246,0.7566207051277161
العسل,0.630281388759613,0.7435905933380127
تدين,0.6302468180656433,0.7289532423019409
عناء,0.6302056312561035,0.6952316761016846
أحاديث,0.6302031874656677,0.715679634701122
قاله,0.6301515102386475,0.7332496643066406
الشيطان,0.630132794380188,0.7209762334823608
راجح,0.630111426115036,0.7758309841156006
##فتك,0.6299881935119629,0.7443596720695496
صانع,0.6298888325691223,0.6970396041870117
ولكننا,0.6298644468188286,0.7083676382899284
سببا,0.6298099756240845,0.7238826155662537
للقاء,0.6297752658526102,0.7222286264101664
يعتبر,0.6297740638256073,0.7244947254657745
مجدي,0.6297392646471659,0.715005894502004
##امنا,0.6297370791435242,0.6614575982093811
ضعيفة,0.6293097138404846,0.7084149718284607
السلب,0.629112434387207,0.7253265857696534
يدور,0.6289857625961304,0.686996579170227
العمق,0.6289546390374502,0.7236040234565735
متحم,0.6288453340530396,0.7255857586860657
راقي,0.6287773251533508,0.6749835908412933
معتمد,0.6287745436032613,0.7282914519309998
صالة,0.6286980509757996,0.7103057503700256
##وقل,0.6286634057760239,0.7289150506258011
وينعم,0.6284045974413554,0.733137289683024
تجرح,0.6280490159988403,0.6701338887214661
البقاء,0.628025492032369,0.6897810896237692
اللغة,0.6279900670051575,0.7471518516540527
أذربيجان,0.6279783248901367,0.7350865602493286
زبد,0.6279273799487523,0.7008269599505833
تفتخر,0.6275196274121603,0.7300593654314677
كفاك,0.627457857131958,0.7507841885089874
محافظ,0.6274498701095581,0.7009141445159912
عيناي,0.6274054050445557,0.7542552947998047
مرحلة,0.6273948848247528,0.6891546249389648
فاطمة,0.6273643241988288,0.6808133787579007
مختلفه,0.6273298263549805,0.7345665693283081
وصارت,0.6272786855697632,0.7460540533065796
يدرس,0.6272529363632202,0.7136161923408508
افتخر,0.6271708806355795,0.7120730678240458
يومنا,0.6270454078912735,0.7030768245458603
##لتزم,0.6270242929458618,0.7058632373809814
رئيسا,0.6270042657852173,0.7121034860610962
البد,0.6268676519393921,0.703629732131958
جبهة,0.6268676221370697,0.6890655159950256
وبخ,0.6268605589866638,0.7339230179786682
حرق,0.6267115473747253,0.6587981581687927
قصص,0.6266675591468811,0.717915415763855
ولكنه,0.6266250088810921,0.7203787676990032
##وادم,0.6265941858291626,0.7198692560195923
الخلل,0.6265432834625244,0.6889858841896057
##فينا,0.6265393793582916,0.6829373985528946
صحبه,0.626533716917038,0.7042745053768158
بيب,0.6265212297439575,0.7175408601760864
العقدة,0.6264933347702026,0.7165851593017578
بجنوب,0.6264858320355415,0.729429729282856
دفاعا,0.6264757513999939,0.736412247021993
السائل,0.6264217793941498,0.7348450124263763
مجيد,0.6263939738273621,0.7534211575984955
مودي,0.6263092309236526,0.6854214668273926
مستقبل,0.6261112689971924,0.7099712789058685
وعليكم,0.6260467966397604,0.7273492217063904
لوقت,0.6259167790412903,0.7532681226730347
اتخذ,0.6258718967437744,0.639716386795044
لكنه,0.6258144080638885,0.7031780332326889
##اند,0.625717967748642,0.7080756425857544
لطيفة,0.6256847381591797,0.7164664566516876
##خخ,0.6255993843078613,0.7134463489055634
فائقة,0.6255710124969482,0.7082941134770712
صوره,0.6255189776420593,0.7202248573303223
جبريل,0.6255083084106445,0.6850694417953491
سلعة,0.6254298289616903,0.7305738727251688
واصدق,0.6254167755444845,0.7255919575691223
الأشياء,0.6253057718276978,0.711503267288208
صليت,0.625304639339447,0.7442948122819265
##سبين,0.6252880096435547,0.7009298205375671
يسهل,0.6252505381902059,0.7054528196652731
سقما,0.6252433260281881,0.7276034851868948
لذوي,0.6252022981643677,0.7110468745231628
العشاق,0.6251161694526672,0.636316329240799
والعمل,0.6251058181126913,0.7425895929336548
تجع,0.6251004934310913,0.7122109532356262
لهذا,0.6250834961732229,0.6926403939723969
مؤشر,0.6250458558400472,0.6814965804417928
مداخل,0.6249512434005737,0.6915155053138733
شغب,0.6249252160390218,0.6989107926686605
خالية,0.624889592329661,0.701967179775238
ببناء,0.6248747110366821,0.7063875794410706
##اطس,0.6248495578765869,0.7147308588027954
يدير,0.6248111724853516,0.7137690186500549
فرض,0.6248099207878113,0.7007004618644714
تشوفه,0.6248050332069397,0.7276236414909363
حولنا,0.6247950196266174,0.751806378364563
ترجمة,0.6247854828834534,0.7119549810886383
الوقوع,0.6245303153991699,0.7700351476669312
يطرد,0.6244754493236542,0.7209011316299438
مصرف,0.6244498491287231,0.7052381038665771
تكلمت,0.6244476735591888,0.6991852521896362
خشب,0.6244199655272744,0.7042089158838446
يظهر,0.6243833154439926,0.6982033997774124
مضاعفة,0.6243352989355723,0.6977984309196472
بسام,0.624294638633728,0.750700831413269
معالي,0.6242338418960571,0.7127503156661987
مؤيد,0.6242041438817978,0.7042800784111023
لمجلس,0.6241992831230163,0.748099422454834
يفوق,0.6240886092185974,0.6827158689498901
التجربة,0.6240665316581726,0.6514244079589844
عفرين,0.6240065097808838,0.6973846554756165
المولد,0.6239904463291168,0.6957311928272247
العيوب,0.6239745020866394,0.7737229863802592
حاول,0.6238859295845032,0.7450541853904724
##لاين,0.6238299310207367,0.7413314580917358
والمست,0.6237500309944153,0.7304172515869141
بنشر,0.6237491965293884,0.7338249683380127
قالها,0.62373908477671,0.7310285182560191
قمع,0.623721718788147,0.7042578607797623
تعارض,0.6236114054918289,0.7208639681339264
بكثرة,0.6235902309417725,0.7046940326690674
معهد,0.6233760714530945,0.7145542502403259
المعارض,0.6233034729957581,0.7129907608032227
الخلف,0.6233012080192566,0.6948383450508118
عرعر,0.6231306195259094,0.7041858434677124
اختلفت,0.6230749785900116,0.6784365177154541
فعلى,0.6229883432388306,0.7221810221672058
يفقه,0.6229496598243713,0.7175526022911072
##حاق,0.6229414343833923,0.6564835906028748
العدد,0.6229180991649628,0.6767681539058685
البنية,0.6228997707366943,0.6824565529823303
فعندما,0.6228988766670227,0.7213083505630493
##رائس,0.6228483319282532,0.7462682723999023
##وارق,0.6228293577829996,0.657829225063324
للقيام,0.6227772831916809,0.7247626781463623
ابتداء,0.6227715412775675,0.7049804925918579
البوم,0.6226813197135925,0.7599673271179199
##ينيك,0.6226060291131338,0.6995271444320679
مصطفى,0.622577428817749,0.6842572093009949
العدوان,0.6225771307945251,0.7400070428848267
لقول,0.6225353181362152,0.7004113793373108
القيود,0.6225241422653198,0.7121028006076813
خوض,0.6224380930264791,0.7097967465718588
وبلاد,0.6223490039507548,0.7054998675982157
وتأتي,0.6222679913043976,0.7185744941234589
عيبا,0.6222630937894186,0.7145537932713827
السليم,0.6222534775733948,0.703023374080658
الطفل,0.6222377896308899,0.7352980017662049
##ليق,0.6221673488616943,0.6728957295417786
تعلق,0.6221283674240112,0.6540393829345703
وضيق,0.6220059990882874,0.7221602201461792
فادي,0.6218936920166016,0.7121918678283692
ويبقى,0.6218756039937338,0.7114987373352051
هامة,0.621855229139328,0.6924821337064108
##فرات,0.6218014657497406,0.7329445779323578
الوالد,0.6217776934305826,0.6885894934336344
السميع,0.6217172543207804,0.6908537348111471
غارات,0.6215656598409017,0.6891309221585592
سمك,0.6215537786483765,0.6979970932006836
سيرته,0.6215364933013916,0.6449764966964722
حاكم,0.6214874386787415,0.6937674283981323
السرد,0.621472954750061,0.7026202082633972
محفوظ,0.6214335560798645,0.6839232444763184
الجدول,0.6214220225811005,0.7495025098323822
طبق,0.6214193006356558,0.6530677378177643
##نسي,0.621342658996582,0.6918589472770691
خارجي,0.621301144361496,0.729667454957962
ويرى,0.6212810277938843,0.6746431589126587
سيئ,0.6212676286697387,0.7023842215538025
يحكم,0.6212441325187683,0.6992644667625427
وحدك,0.6212083995342255,0.721645712852478
حتما,0.6211894154548645,0.7572017312049866
التنفيذ,0.6211632490158081,0.7098883787790934
زائر,0.6211201548576355,0.7138311266899109
الواجب,0.6211048364639282,0.7435439825057983
الجزاء,0.6210077404975891,0.7169396877288818
قيم,0.6209128201007843,0.7472814917564392
يقبل,0.6208430528640747,0.6980099678039551
لديها,0.6208152770996094,0.7269924879074097
يكسر,0.6207070350646973,0.688136637210846
الموقف,0.6206722855567932,0.7414273619651794
البريه,0.6206300457318624,0.700827936331431
تمطر,0.6204841434955597,0.6983698904514313
نكون,0.620476226011912,0.7268255551656088
شأنها,0.6204672952493032,0.6945826907952627
قائم,0.6204104098406705,0.6870185841213573
وبدا,0.6204011837641398,0.7143584688504537
طالبا,0.6203498641649882,0.692249059677124
تذك,0.6202117204666138,0.7013537883758545
الصادق,0.6202037334442139,0.697140097618103
قائد,0.6201869334493365,0.669769891670772
حاضر,0.6201468408107758,0.7119014774050031
القوافي,0.6200726429621378,0.7247621218363444
كلن,0.6200660765171051,0.7232950925827026
وخالد,0.6200459122657775,0.6908341169357299
كانو,0.6200256049633026,0.6754892468452454
يتناول,0.6199662685394287,0.6655614376068115
الوسائل,0.6198391318321228,0.7053773999214172
مواضع,0.6197983622550964,0.6363255381584167
بنفسي,0.6197007695833842,0.7034820268551508
الشاعر,0.619654984385879,0.6708904703458151
جاذ,0.6195986866950989,0.7339810132980347
الفيل,0.6195341646671295,0.7114764451980591
دليل,0.6194450684956142,0.700738651411874
زوال,0.6194080710411072,0.7088837325572968
يقصد,0.6193134519788954,0.685210817390018
يعشق,0.6192474265893301,0.6011530558268229
تفارق,0.61919105052948,0.678897500038147
تكرار,0.6191825866699219,0.7032768726348877
أفادت,0.6191045045852661,0.6990673542022705
شامخ,0.61905437707901,0.7293692231178284
خلاف,0.6189558506011963,0.7173133989175161
جارية,0.6188328597280714,0.7016491293907166
منطق,0.6187789857387542,0.6933371663093567
موسم,0.6187750995159149,0.7030293742815653
وسجل,0.6187371015548706,0.694732666015625
وبقيت,0.6187137961387634,0.6611549258232117
نترك,0.6186867621209886,0.6611733105447557
ويترك,0.6186650310243879,0.7086856365203857
علاقة,0.6186454892158508,0.6293809413909912
نين,0.6184104681015015,0.6824624538421631
خوي,0.6183755993843079,0.7111191749572754
الحرارة,0.6183143854141235,0.7082305252552032
واترك,0.6182898283004761,0.6724616289138794
##سيات,0.6182541251182556,0.7010167837142944
هاتين,0.6182167530059814,0.6400722861289978
خمس,0.6182013928890229,0.689194118976593
تغريدها,0.6181855797767639,0.7095967531204224
تحليل,0.6181634664535522,0.6740640997886658
الكريمة,0.6180537045001984,0.7517975866794586
سلامة,0.6180321052670479,0.7261978983879089
البنود,0.6180320282777151,0.6841481924057007
أشكال,0.6180225014686584,0.7019126415252686
الواقع,0.6179978251457214,0.6737507581710815
اخبار,0.6179865598678589,0.7626336812973022
الأزرق,0.6179618239402771,0.7003704905509949
وأيضا,0.6179202795028687,0.7117482821146647
معلومة,0.6179040670394897,0.7021790504455566
يوجب,0.6179024577140808,0.6596422791481018
والعديد,0.6178641319274902,0.7248255411783854
مصدق,0.6178250014781952,0.7005469650030136
عشقا,0.6178207397460938,0.6580243110656738
